review,sentiment,clean_review,sentiment_label
Bahannya adem. Jahitan rapi. Tidak menerawang. Mudah dibentuk. Warnanya cantik ??. Nyaman dipakai.,Positive,bahannya adem jahitan rapi tidak menerawang mudah dibentuk warnanya cantik nyaman dipakai,1
krn obatnyatdk mempan basmi kutu nya sdh 3 x pakai malahmakin banyak,Negative,krn obatnyatdk mempan basmi kutu nya sdh x pakai malahmakin banyak,0
"kecewa order disini beli produk kenmaster tapi yg dikirim label yang berbeda dengan foto di etalase produk, bulu tipis dan ternyata gagang tidak bisa diperpanjang pula",Negative,kecewa order disini beli produk kenmaster tapi yg dikirim label yang berbeda dengan foto di etalase produk bulu tipis dan ternyata gagang tidak bisa diperpanjang pula,0
"Pengirimannya sih cepat, tapi barangnya bruntusan gitu. Teman saya juga beli drum pad bahan karet dari malang tapi alus kok, ini yg saya beli malah bruntusan begitu. Ekspetasi saya tadinya bagus malah dapatnya yg jelekkan. Tdk sesuai foto yg di pajang oleh penjual.",Negative,pengirimannya sih cepat tapi barangnya bruntusan gitu teman saya juga beli drum pad bahan karet dari malang tapi alus kok ini yg saya beli malah bruntusan begitu ekspetasi saya tadinya bagus malah dapatnya yg jelekkan tdk sesuai foto yg di pajang oleh penjual,0
"warnanya cantik,baunya tidak menyengat, harga terjangkau, pengiriman cepat, packing aman..",Positive,warnanya cantik baunya tidak menyengat harga terjangkau pengiriman cepat packing aman,1
"barang bagus sesuai harapan,pouchnya mantap cukup bagus.service seller ok buanget.terima kasih barang sesuai iklan",Positive,barang bagus sesuai harapan pouchnya mantap cukup bagus service seller ok buanget terima kasih barang sesuai iklan,1
"Waktu sampai nya lakban Tokopedia di saya sangat lama,ketika saya tanyakan malah di suruh komplain,pelayanan nya buruk,admin yang bagian chatting nya sangat buruk dalam melayani Customer",Negative,waktu sampai nya lakban tokopedia di saya sangat lama ketika saya tanyakan malah di suruh komplain pelayanan nya buruk admin yang bagian chatting nya sangat buruk dalam melayani customer,0
"respon dan pengiriman cepat. barang sesuai pesanan, lengkap dan tidak ada yang patah atau pecah. hanya pengemasannya yang sangat tidak aman",Positive,respon dan pengiriman cepat barang sesuai pesanan lengkap dan tidak ada yang patah atau pecah hanya pengemasannya yang sangat tidak aman,1
kecewa berat sama pedagang.warna yg dibeli kosong dikirim tanpa konfirmasi.pdhl sy sudh minta d cancel.sudh dikirim baru bilang warna habis.pdhl harga lumayan mahal.dikirim warna senada 4pcs.emang sy mau buat seragaman.,Negative,kecewa berat sama pedagang warna yg dibeli kosong dikirim tanpa konfirmasi pdhl sy sudh minta d cancel sudh dikirim baru bilang warna habis pdhl harga lumayan mahal dikirim warna senada pcs emang sy mau buat seragaman,0
"kurang suka, bau karetnya sangat menyengat",Negative,kurang suka bau karetnya sangat menyengat,0
"kurang puas krn bahannya beda dengan yg digambar, ekspektasi bahan tebal ternyt tipis bgt",Negative,kurang puas krn bahannya beda dengan yg digambar ekspektasi bahan tebal ternyt tipis bgt,0
Bahannya adem.,Positive,bahannya adem,1
ukurannya ada yg besar ada yg kecil tapi lumayan dengan harga segitu makasih ya??,Positive,ukurannya ada yg besar ada yg kecil tapi lumayan dengan harga segitu makasih ya,1
"dabest lah pokokmya, pengiriman ke lampung cuma 3 hari. prosesnya jg gercep banget! Puas teruuuus, ngga pernah kecewa sm original source dari dulu, mantap??",Positive,dabest lah pokokmya pengiriman ke lampung cuma hari prosesnya jg gercep banget puas teruuuus ngga pernah kecewa sm original source dari dulu mantap,1
Tadiinya mau pesen beda model tp g bisa kata selernya.. terpaksa pakai dah mau gmn lg,Negative,tadiinya mau pesen beda model tp g bisa kata selernya terpaksa pakai dah mau gmn lg,0
"barang cakep, bahan adem, kantong juga lega plus ada resleting, pengiriman cepat, terbaik",Positive,barang cakep bahan adem kantong juga lega plus ada resleting pengiriman cepat terbaik,1
"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe",Positive,waw murah bangetttt packingnya rapih produknya bagus keren mantap sangat uhuuy pisan deh pokoknya hehehehehe,1
Tiap kali beli barang selalu research dulu. This one bener-bener top dibanding yg lain. Ada harga = ada kualitas. Pernah beli yg 20k dan cepet bgt rusak and slip. Kl yg ini solid and the best. Thanks gan.,Positive,tiap kali beli barang selalu research dulu this one bener bener top dibanding yg lain ada harga ada kualitas pernah beli yg k dan cepet bgt rusak and slip kl yg ini solid and the best thanks gan,1
Cocok buat warm tone. Hasilnya awet. Cocok buat cool tone. Cocok di kulit kering. Cocok di kulit normal. Cocok di kulit kombinasi.,Positive,cocok buat warm tone hasilnya awet cocok buat cool tone cocok di kulit kering cocok di kulit normal cocok di kulit kombinasi,1
pesanan tidak lengkap lebih dari 40 pcs tidak dikirim,Negative,pesanan tidak lengkap lebih dari pcs tidak dikirim,0
"pengiriman cepat bangeett, packing aman, walo dapet flash sale tapi expired masih lama ????",Positive,pengiriman cepat bangeett packing aman walo dapet flash sale tapi expired masih lama,1
"Fast response, cepat sampai, sesuai pesanan. Recommended !!!",Positive,fast response cepat sampai sesuai pesanan recommended,1
repeat order terus,Positive,repeat order terus,1
"Alhamdulillah sudah sampai sabuknya, keren cepet nyampenya pada hal baru kemaren sore pesannya .",Positive,alhamdulillah sudah sampai sabuknya keren cepet nyampenya pada hal baru kemaren sore pesannya,1
Mainannya bagus banget ??????,Positive,mainannya bagus banget,1
"minta size 43 yg dikirim size 44, kebesaran gk bs saya pakai,bagaimna?",Negative,minta size yg dikirim size kebesaran gk bs saya pakai bagaimna,0
"sangat kecewa belanja di toko ini pesan 12 masker yang sampai cuma 10 tolong kalau packing barang sbelum di kirim teliti dlu dong, jangan sampai mengecewakan pembeli termasuk saya .",Negative,sangat kecewa belanja di toko ini pesan masker yang sampai cuma tolong kalau packing barang sbelum di kirim teliti dlu dong jangan sampai mengecewakan pembeli termasuk saya,0
Kartu bekerja dengan baik begitupun sellernya yang sigap menjawab semua pertanyaan..,Positive,kartu bekerja dengan baik begitupun sellernya yang sigap menjawab semua pertanyaan,1
"produk sesuai foto, console yg dipakaikan hardcase pas masuk ke dalam pouch. packing aman, pengiriman cepat. terima kasih!",Positive,produk sesuai foto console yg dipakaikan hardcase pas masuk ke dalam pouch packing aman pengiriman cepat terima kasih,1
"Nyaman, ga licin, mantebbb",Positive,nyaman ga licin mantebbb,1
barang tidak sesuai yg di pesan. warna pudar .kancing yg di pesan 3 yg di kirim model 2 kancing,Negative,barang tidak sesuai yg di pesan warna pudar kancing yg di pesan yg di kirim model kancing,0
Kualitas produk kurang memuaskan,Negative,kualitas produk kurang memuaskan,0
barang tidak sesuai gambar. payah,Negative,barang tidak sesuai gambar payah,0
MasyaaAllah bagusss muraaahhhh jangan Ragu order mukenah disini asli sd survey bbrp seller offline n online disini murah harganya barang sama dg yg diluaran yg harga mahal��jangan Ragu beli ditoko ini ya ????,Positive,masyaaallah bagusss muraaahhhh jangan ragu order mukenah disini asli sd survey bbrp seller offline n online disini murah harganya barang sama dg yg diluaran yg harga mahal jangan ragu beli ditoko ini ya,1
"Barang penyok Gaes. Klo dari ekspedisi, kardus harusnya rusak, nah ini kardusnya tebal dan masih mulus. Returan sy dari toko sebelah dibalikin lewat Toped. Mana bohong lagi, foto yg dikirim ke tokopedia care bukan foto paket saya. Untung asuransi mau terima claim. Jadi hati2 Gaes! Nutrilon sudah mulai tidak AMANAH!",Negative,barang penyok gaes klo dari ekspedisi kardus harusnya rusak nah ini kardusnya tebal dan masih mulus returan sy dari toko sebelah dibalikin lewat toped mana bohong lagi foto yg dikirim ke tokopedia care bukan foto paket saya untung asuransi mau terima claim jadi hati gaes nutrilon sudah mulai tidak amanah,0
Ukurannya sesuai. Bahannya adem. Produk sesuai dengan foto.,Positive,ukurannya sesuai bahannya adem produk sesuai dengan foto,1
"Dari segi estetik bagus banget, tapi cengkramannya kurang, jadi kalo di pake kadang suaranya geter, meskipun bisa dipake.. Dengan harga segitu, sangat worth it apalagi designnya yang elegant..",Positive,dari segi estetik bagus banget tapi cengkramannya kurang jadi kalo di pake kadang suaranya geter meskipun bisa dipake dengan harga segitu sangat worth it apalagi designnya yang elegant,1
"Barangnya ternyata berkualitas walaupun harganya cukup miring - warnanya pun bagus, gak kelihatan kayak barang murah - puassss",Positive,barangnya ternyata berkualitas walaupun harganya cukup miring warnanya pun bagus gak kelihatan kayak barang murah puassss,1
"pengiriman lelet, request warna g di ACC, sangat kecewa...",Negative,pengiriman lelet request warna g di acc sangat kecewa,0
"uda biasa blanja di abbot, baru kali ini dateng penyok semua...ga tau ini promo gara2 emang abisin stok penyok atau toko cabangnya yg bermasalah, yg uda pasti ngga bakal belanja lagi di toko cabang d.",Negative,uda biasa blanja di abbot baru kali ini dateng penyok semua ga tau ini promo gara emang abisin stok penyok atau toko cabangnya yg bermasalah yg uda pasti ngga bakal belanja lagi di toko cabang d,0
Mantapp!! Packing rapi dan fast respon! Recommended lah!!,Positive,mantapp packing rapi dan fast respon recommended lah,1
"good seller, ramah dan proses cepat",Positive,good seller ramah dan proses cepat,1
"Yang datang merk BUCK-i entah karena promo atau apa, tapi belum sempat take a picture, nanti saya update lagi ulasanya,barusan saya search buck-i knife, lebih murah.kalau memang mau ngadain promo, jual barang yang bener,saya kecewa sekali dengan brand GM yang sudah saya percaya berkali kali,",Negative,yang datang merk buck i entah karena promo atau apa tapi belum sempat take a picture nanti saya update lagi ulasanya barusan saya search buck i knife lebih murah kalau memang mau ngadain promo jual barang yang bener saya kecewa sekali dengan brand gm yang sudah saya percaya berkali kali,0
barang bagus dan berkwalitas.. mantapsss... sesuai deskripsi.. cepat sampai,Positive,barang bagus dan berkwalitas mantapsss sesuai deskripsi cepat sampai,1
"deskripsi diameter depan filter keliru, sehingga ketika saya pasangkan lenshood ataupun lenscap gak cocok",Negative,deskripsi diameter depan filter keliru sehingga ketika saya pasangkan lenshood ataupun lenscap gak cocok,0
KURANG MELAYANI,Negative,kurang melayani,0
"kualitas barang sesuai harga, bahan lumayan halus, tapi sablon agak kasar sepertinya jangan di cuci dengan mesin cuci, pengiriman cepat",Positive,kualitas barang sesuai harga bahan lumayan halus tapi sablon agak kasar sepertinya jangan di cuci dengan mesin cuci pengiriman cepat,1
DS sukses Terima kasih atas kerjasamanya Sist,Positive,ds sukses terima kasih atas kerjasamanya sist,1
"Brg dtg dengan kondisi stick nya ga ok, kenapa penjual ga d periksa dl yak.. trus minta tukar tp ga mao tanggung bersama ongkir nya (50:50 donk).. emg penjual ga mao rugi... ya mao ga mao byr uang xtra utk ongkir sana sini tukar stick. smoga kedepannya bs lbh baik",Negative,brg dtg dengan kondisi stick nya ga ok kenapa penjual ga d periksa dl yak trus minta tukar tp ga mao tanggung bersama ongkir nya donk emg penjual ga mao rugi ya mao ga mao byr uang xtra utk ongkir sana sini tukar stick smoga kedepannya bs lbh baik,0
Produk bagus sesuai pesanan. Fast response. Pengiriman cepat 1hr,Positive,produk bagus sesuai pesanan fast response pengiriman cepat hr,1
"seller fast respon , barang cepat sampai,packing rapi, barang sdh dicoba sesuai order, nyaman dipake. makasih NoWway????",Positive,seller fast respon barang cepat sampai packing rapi barang sdh dicoba sesuai order nyaman dipake makasih nowway,1
jumbo ternyata Setelah di buka ukuran nya cuma setengah kardusnya.. ????????????????????,Negative,jumbo ternyata setelah di buka ukuran nya cuma setengah kardusnya,0
barang ORI..pengiriman cepat.. sippp,Positive,barang ori pengiriman cepat sippp,1
"kecewa banget ,masa yang datang cuma tripot nya ada, ngga ada ring light nya tripotnya pun pada patah??",Negative,kecewa banget masa yang datang cuma tripot nya ada ngga ada ring light nya tripotnya pun pada patah,0
mkkasih admin daper harga murah paketan sama cdr n redoxon,Positive,mkkasih admin daper harga murah paketan sama cdr n redoxon,1
barang sesuai diskripsi... kulit muka jd bersih lembut d halus... rekomen bwt cowok mantabs,Positive,barang sesuai diskripsi kulit muka jd bersih lembut d halus rekomen bwt cowok mantabs,1
Kirim Cepat Barang Ori Paking Rapi,Positive,kirim cepat barang ori paking rapi,1
ga ada gunanya atc ini tetap ga dikasi bubble..bikin rugi aja..,Negative,ga ada gunanya atc ini tetap ga dikasi bubble bikin rugi aja,0
"Pengiriman lama banget...oder hr minggu baru dikirim kamis, setiap ditanya jawabnya masih proses...barang dikirim salah size dan warna..order 34�, merah yg dikirim 32�, hitam...parah koordinasi nya",Negative,pengiriman lama banget oder hr minggu baru dikirim kamis setiap ditanya jawabnya masih proses barang dikirim salah size dan warna order merah yg dikirim hitam parah koordinasi nya,0
"Barang sesuai harapan, muat banyak barang sehingga membuat meja rias lebih rapi",Positive,barang sesuai harapan muat banyak barang sehingga membuat meja rias lebih rapi,1
"dapat kain microfiber, fungsi mau dicoba dulu, kalo buat sekarang ????? biar tokonya joss ??",Positive,dapat kain microfiber fungsi mau dicoba dulu kalo buat sekarang biar tokonya joss,1
sempurnaaaaaaaaaaaaaaaaaaaaaaaaaaa,Positive,sempurnaaaaaaaaaaaaaaaaaaaaaaaaaaa,1
udah 2x order di sini dengan produk yang sama... recommended seller...,Positive,udah x order di sini dengan produk yang sama recommended seller,1
"mudah�n awet, tp kainnya kurang nyerap, kalo di lantai granit masih ninggalin bekas",Negative,mudah n awet tp kainnya kurang nyerap kalo di lantai granit masih ninggalin bekas,0
BAHAN DARI PLASTIK DAN TIDAK KUAT JUGA BUAT MENOPANG LAPTOP.INI SIH KUATNYA BUAT TABLET GAISSS. LEBIH BAIK JANGAN BELI YANG INI,Negative,bahan dari plastik dan tidak kuat juga buat menopang laptop ini sih kuatnya buat tablet gaisss lebih baik jangan beli yang ini,0
BAHAN CELANANYA SANGAT AMAT TIPIS DAN MENERAWANG GAK SESUAI GAMBAR. DI GAMBAR KAYAK KATUN TEBAL GITU TAPI ASLINYA YG DIKIRIM TIPIS DAN GAK BANGET YA. MAAF.,Negative,bahan celananya sangat amat tipis dan menerawang gak sesuai gambar di gambar kayak katun tebal gitu tapi aslinya yg dikirim tipis dan gak banget ya maaf,0
"pie susunya jamuran, duh parah bgt sih jualan",Negative,pie susunya jamuran duh parah bgt sih jualan,0
"barang lumayan bagus, respon penjual cepat",Positive,barang lumayan bagus respon penjual cepat,1
kecewa. krn pd saat brg tsb sampai kami tdk ada dirmh. dan oleh kurir paketnya dilempar yg mengakibatkan bodi wajan tsb penyok.,Negative,kecewa krn pd saat brg tsb sampai kami tdk ada dirmh dan oleh kurir paketnya dilempar yg mengakibatkan bodi wajan tsb penyok,0
kenapa pesananya ndk sesuai ukuran yg di pesan... klo stok kosong ya di ubah..,Negative,kenapa pesananya ndk sesuai ukuran yg di pesan klo stok kosong ya di ubah,0
"Produk sesuai deskripsi??. Kualitas produk bagus, karetnya tebal, buatannya rapi & halus. thanks seller for flash sale.",Positive,produk sesuai deskripsi kualitas produk bagus karetnya tebal buatannya rapi halus thanks seller for flash sale,1
"tipis, bagian dalam kurang rapi, untuk harga segitu jadi mahal krn ga awet",Negative,tipis bagian dalam kurang rapi untuk harga segitu jadi mahal krn ga awet,0
"barang bagus. saran : utk pengiriman tolong kotak nya dikasih tulisan fragile. tadi punya saya di jatuhin di dalam pagar, alhamdulillah gak pecah barangnya",Positive,barang bagus saran utk pengiriman tolong kotak nya dikasih tulisan fragile tadi punya saya di jatuhin di dalam pagar alhamdulillah gak pecah barangnya,1
"saya beli L'oreal serioxyl nya, malah ga ada. yg datang malah giftnya aja..ini gmn sih official account lho padahal",Negative,saya beli l oreal serioxyl nya malah ga ada yg datang malah giftnya aja ini gmn sih official account lho padahal,0
"Mesin sesuai yg dibutuhkan. Cs nya juga ramah, menjawab semua pertanyaan apa yg kita butuhkan.",Positive,mesin sesuai yg dibutuhkan cs nya juga ramah menjawab semua pertanyaan apa yg kita butuhkan,1
"Beli 14 buah warna pink, dikirimnya ungu. Tidak ada konfirmasi sebelumnya dan ketika saya ty di DM pun tidak dibalas. Ada gantungan masker yg putus juga , tapi seller sama sekali tidak membalas DM saya ketika ditanya mengenai ini.",Negative,beli buah warna pink dikirimnya ungu tidak ada konfirmasi sebelumnya dan ketika saya ty di dm pun tidak dibalas ada gantungan masker yg putus juga tapi seller sama sekali tidak membalas dm saya ketika ditanya mengenai ini,0
Pengiriman Lama dan Mainan Gak berfungsi dengan baik,Negative,pengiriman lama dan mainan gak berfungsi dengan baik,0
"ga sesuai pesan adult dikirim kitten, kaleng pd penyok..diretur mahalan ongkirnya",Negative,ga sesuai pesan adult dikirim kitten kaleng pd penyok diretur mahalan ongkirnya,0
"Dapet celana yang gak ada kancingnya, sangat disayangkan...",Negative,dapet celana yang gak ada kancingnya sangat disayangkan,0
"Seller ramah, pengiriman cepat. Gak nyangka ternyata paketnya bagus banget dan kacamatanya memang sangat berguna buat orang yang sering pakai hp.????",Positive,seller ramah pengiriman cepat gak nyangka ternyata paketnya bagus banget dan kacamatanya memang sangat berguna buat orang yang sering pakai hp,1
"diskon nya nipu,barang nya ternyata sesuai dengan harga",Negative,diskon nya nipu barang nya ternyata sesuai dengan harga,0
produk tiruan cacad .gx bisa ricord .untuk pembeli lain sebaiknya jangan beli produk ini kalo tidak ingin rugi. lebih baik beli merk taffware atau taffstudio yang sudah lama produksi v8. casing boleh sama tp kualitas jauh sekali. dri pada buang buang duit . clip on aja bisa ricord suara ini suondcard gx bisa . product sangat gx jelas,Negative,produk tiruan cacad gx bisa ricord untuk pembeli lain sebaiknya jangan beli produk ini kalo tidak ingin rugi lebih baik beli merk taffware atau taffstudio yang sudah lama produksi v casing boleh sama tp kualitas jauh sekali dri pada buang buang duit clip on aja bisa ricord suara ini suondcard gx bisa product sangat gx jelas,0
"QC oh QC .. lensa dalamnya pecah katnya udah Cek QC, picking asal padahal udah nambah buble wrap. perbaiki pelayanan..!",Negative,qc oh qc lensa dalamnya pecah katnya udah cek qc picking asal padahal udah nambah buble wrap perbaiki pelayanan,0
Proses pesanan cepat. Respon penjualnya top. Packaging rapi.,Positive,proses pesanan cepat respon penjualnya top packaging rapi,1
"console sebelah kanan analoq ya drift sendiri lecet juga, ng recommend deh.. kapok",Negative,console sebelah kanan analoq ya drift sendiri lecet juga ng recommend deh kapok,0
"beli 2, 1 tidak bisa. Wong rusak bilangnya sudah dicek tapi kok ga bisa ya",Negative,beli tidak bisa wong rusak bilangnya sudah dicek tapi kok ga bisa ya,0
"bagussss sukakakkk, ntah udh brp kali order, bahannya bagus, adem n nyaman dan harga promonya mantulll",Positive,bagussss sukakakkk ntah udh brp kali order bahannya bagus adem n nyaman dan harga promonya mantulll,1
"yg satu error mulu. jadinya repot. kadang hidupnya susah, kalauoun hidup, harusbpakai headset, sebab mic nya nyala mati",Negative,yg satu error mulu jadinya repot kadang hidupnya susah kalauoun hidup harusbpakai headset sebab mic nya nyala mati,0
respon cepat terimakasih,Positive,respon cepat terimakasih,1
tripodnya mantap. dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget. budget fits the function! keren!,Positive,tripodnya mantap dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget budget fits the function keren,1
penjual bisa menjaga kualitas barang dan pengirimannya yang cepat. ini kali kedua pesen disini. terimakasih ya,Positive,penjual bisa menjaga kualitas barang dan pengirimannya yang cepat ini kali kedua pesen disini terimakasih ya,1
Produk sesuai deskripsi??.,Positive,produk sesuai deskripsi,1
jelek jgn beli disini...kecewa....harga murah emang murahan bahannya...nyesal ********* penjualnya,Negative,jelek jgn beli disini kecewa harga murah emang murahan bahannya nyesal penjualnya,0
Alhamdulillah bagus,Positive,alhamdulillah bagus,1
"microphone tidak bekerja, sisi kiri kurang bassnya",Negative,microphone tidak bekerja sisi kiri kurang bassnya,0
Product tidak bisa spray sudah di kocok berkali-kali ..tidak bisa dipakai.tidak recomended..kecewa,Negative,product tidak bisa spray sudah di kocok berkali kali tidak bisa dipakai tidak recomended kecewa,0
ok guys mantap berfungsi dengan baik,Positive,ok guys mantap berfungsi dengan baik,1
"makasih seller.ramah, recomended seller. . tx u shakernya ya. bisa buat langganan nih.",Positive,makasih seller ramah recomended seller tx u shakernya ya bisa buat langganan nih,1
mantapppp fast delivery !!!! langganan trs tiap bulan ????????,Positive,mantapppp fast delivery langganan trs tiap bulan,1
baru d pake seminggu rusak,Negative,baru d pake seminggu rusak,0
Kereeeeennnnnn. Mantab,Positive,kereeeeennnnnn mantab,1
Mantap Tajam. Kualitas Produk Bagus. Produk Sesuai.,Positive,mantap tajam kualitas produk bagus produk sesuai,1
barang yg saya terima dari 9 hanya 1 kondisi masih bagus dan layak pakai,Negative,barang yg saya terima dari hanya kondisi masih bagus dan layak pakai,0
"warna tidak sesuai dengan yg dikirim, males pengembalian barang seller asal-asalan kirim",Negative,warna tidak sesuai dengan yg dikirim males pengembalian barang seller asal asalan kirim,0
"mengecewakan tidak sesuai diskripsi panjangnya ternyata 30cm, di diskripsi 38-40cm, pesan 3 ps semuanya panjangnya 30 cm, ajuin komplain malah rugi di ongkir. Sial deh ??",Negative,mengecewakan tidak sesuai diskripsi panjangnya ternyata cm di diskripsi cm pesan ps semuanya panjangnya cm ajuin komplain malah rugi di ongkir sial deh,0
"beli 2 dateng nya malah 1, pas di buka udah exited banget jadi Negativemood tenyata cuman 1",Negative,beli dateng nya malah pas di buka udah exited banget jadi negativemood tenyata cuman,0
"Kurang memuaskan, pesan 2 matrass dengan motif yg sama tapi yang datang satunya tidak sesuai dengan deskripsi dan foto. Tidak ada motipnya. Dan seller tidak memberi solusi sampai saat ini.",Negative,kurang memuaskan pesan matrass dengan motif yg sama tapi yang datang satunya tidak sesuai dengan deskripsi dan foto tidak ada motipnya dan seller tidak memberi solusi sampai saat ini,0
Produk sesuai pesanan baik bentuk maupun warnanya semuanya berfungsi normal,Positive,produk sesuai pesanan baik bentuk maupun warnanya semuanya berfungsi normal,1
"Jualan kok ngotottt, nggak laku toko nya bang?",Negative,jualan kok ngotottt nggak laku toko nya bang,0
"barang tidak sesuai gambar,mengecewakan",Negative,barang tidak sesuai gambar mengecewakan,0
Alat tidak berfungsi,Negative,alat tidak berfungsi,0
"Terima kasih atas pelayanan nya, sangat memuaskan.",Positive,terima kasih atas pelayanan nya sangat memuaskan,1
"Mantab, murah dan berkualitas",Positive,mantab murah dan berkualitas,1
sangat tidak cocok dgn yg tidak suka manis. Ini minuman manis bgt dan rasanya artificial mangga bgt. SALAH untuk yg expect ini minuman seger dan fresh dr mangga buah.,Negative,sangat tidak cocok dgn yg tidak suka manis ini minuman manis bgt dan rasanya artificial mangga bgt salah untuk yg expect ini minuman seger dan fresh dr mangga buah,0
"bahan jepitnya bagus, awet dipake gak mudah rusak",Positive,bahan jepitnya bagus awet dipake gak mudah rusak,1
"udah langgganan banget belanja imboost disini, semoga laris manis jualannya ya kak. terima kasih ????????????????????????",Positive,udah langgganan banget belanja imboost disini semoga laris manis jualannya ya kak terima kasih,1
Barang berfungsi dengan baik. Recommended Seller ??,Positive,barang berfungsi dengan baik recommended seller,1
Ga rapi bnyk yg item .....,Negative,ga rapi bnyk yg item,0
kurang bagus..kurang pas sama fotonya,Negative,kurang bagus kurang pas sama fotonya,0
Repeat order yg entah keberapa. Selalu puas. Makasiii banyak gan. Sukses selaloeee yaaaa...,Positive,repeat order yg entah keberapa selalu puas makasiii banyak gan sukses selaloeee yaaaa,1
"Great service, pelayanannya super cepat dan memuaskan semua yg saya tanyakan dijelaskan dengan sabar dan jelas",Positive,great service pelayanannya super cepat dan memuaskan semua yg saya tanyakan dijelaskan dengan sabar dan jelas,1
padahal gw uda kasih Note warna MERAH dan gw udah chat kepenjual juga yang dateng malah warna UNGU! ERROR nih yang jual Kesel gw,Negative,padahal gw uda kasih note warna merah dan gw udah chat kepenjual juga yang dateng malah warna ungu error nih yang jual kesel gw,0
"kecewa kali, bknnya di test dlu sblom kirim, tdk ada satupun yg bs hidup.. brg sangat ringan, yg punya sy bli di Ace brgnya berat dan bs hidup..",Negative,kecewa kali bknnya di test dlu sblom kirim tdk ada satupun yg bs hidup brg sangat ringan yg punya sy bli di ace brgnya berat dan bs hidup,0
"Ga sesuai expetasi, lebih mirip singlet drpd tanktop, beli putih 2, hitam 2 yg dikirim hitam semua pdhal sblm order sdh tanya saat cekout jg yg dipilih hitam, putih, packing rapi , pengiriman agak lama , penjual responsif",Negative,ga sesuai expetasi lebih mirip singlet drpd tanktop beli putih hitam yg dikirim hitam semua pdhal sblm order sdh tanya saat cekout jg yg dipilih hitam putih packing rapi pengiriman agak lama penjual responsif,0
Barangnya bagus dan original. Packaging juga bagus full dng bubble wrap berlapis dan dilapis dng packing kardus. Barang msh tersegel.,Positive,barangnya bagus dan original packaging juga bagus full dng bubble wrap berlapis dan dilapis dng packing kardus barang msh tersegel,1
"terima kasih kak, puas beli voucher tiket disini, recommended seller ??",Positive,terima kasih kak puas beli voucher tiket disini recommended seller,1
Bahannya tipis & agak kasar. Pengiriman cepet..,Positive,bahannya tipis agak kasar pengiriman cepet,1
Gampang dibawa-bawa. Muat banyak buku. Enak buat baca. Packaging aman ??. Packaging rapi.,Positive,gampang dibawa bawa muat banyak buku enak buat baca packaging aman packaging rapi,1
"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,packing aman pengiriman cepat dan barang berfungsi dengan baik,1
Ini produk ga diragukan sensornya. Hampir ga ada delay dieksekusinya. Mantap.,Positive,ini produk ga diragukan sensornya hampir ga ada delay dieksekusinya mantap,1
"sudah dicoba untuk 3 hari dan controller tidak ada masalah, masih berfungsi dengan baik. feel tombolnya oke lah cocok buat saya yang suka main game sebagai casual",Positive,sudah dicoba untuk hari dan controller tidak ada masalah masih berfungsi dengan baik feel tombolnya oke lah cocok buat saya yang suka main game sebagai casual,1
"rendangnya enakkk, dagingnya empukkk. Paling salut krn mau kirim di hari minggu jd bs nyampe tepat waktu sebelum lebaran. Tadinya udah agak was2 kl ngirimnya ketunda sehari aja udah ga bakal pas momennya. Ternyata sellernya gerceppp. Thanksss.",Positive,rendangnya enakkk dagingnya empukkk paling salut krn mau kirim di hari minggu jd bs nyampe tepat waktu sebelum lebaran tadinya udah agak was kl ngirimnya ketunda sehari aja udah ga bakal pas momennya ternyata sellernya gerceppp thanksss,1
"cepet banget pengirimannya, pengemasannya pun cepat dan dengan plastik bubble yg tebel banget jd aman.",Positive,cepet banget pengirimannya pengemasannya pun cepat dan dengan plastik bubble yg tebel banget jd aman,1
"mantab deh sesuai ekspektasi, lancar jaya ga ngelag meski ram cuma 2gb mungkin krn sudah di optimize dari mi nya, ui juga lebih simple dr tv box lain, overall puas",Positive,mantab deh sesuai ekspektasi lancar jaya ga ngelag meski ram cuma gb mungkin krn sudah di optimize dari mi nya ui juga lebih simple dr tv box lain overall puas,1
"respone lambat, packing lama, kirim lama mengecewakan, padahal dalam 1 kota yg hanya 30 menit sampe, di saller lain setelah fix transaksi 30 menit sampe, ini nunggu sampe 4 jam.. toko payah, chat customer responenya lambat.. kapok ga akan belanja lagi",Negative,respone lambat packing lama kirim lama mengecewakan padahal dalam kota yg hanya menit sampe di saller lain setelah fix transaksi menit sampe ini nunggu sampe jam toko payah chat customer responenya lambat kapok ga akan belanja lagi,0
Barang yang sudah berlubang (model persegi) pun bisa2 nya di kirim ke buyer nya. untuk model bulat warnanya berantakan. jelek sekali,Negative,barang yang sudah berlubang model persegi pun bisa nya di kirim ke buyer nya untuk model bulat warnanya berantakan jelek sekali,0
"barang bagus, gak mudah robek, bahan plastik.....",Positive,barang bagus gak mudah robek bahan plastik,1
kecewa dan sangat kecewa. pertama belanja sdh salah belanja ke dua berharap ada perubahan tp ttp salah.,Negative,kecewa dan sangat kecewa pertama belanja sdh salah belanja ke dua berharap ada perubahan tp ttp salah,0
Produknya sesuai gambar,Positive,produknya sesuai gambar,1
